City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kaitangata,NZ,2022-04-24 14:46:58,-46.2817,169.8464,51.89,81,100,13.6
68,Qaanaaq,GL,2022-04-24 14:46:58,77.484,-69.3632,5.16,71,18,8.25
69,Laguna,US,2022-04-24 14:46:15,38.421,-121.4238,58.08,76,0,0.0
70,Qandala,SO,2022-04-24 14:46:59,11.472,49.8728,85.39,66,65,4.94
71,Saint-Philippe,RE,2022-04-24 14:46:59,-21.3585,55.7679,76.59,80,98,15.75
72,Kokkarion,GR,2022-04-24 14:46:59,37.7764,26.8939,76.78,65,0,6.91
73,Klaksvik,FO,2022-04-24 14:46:59,62.2266,-6.589,47.32,87,100,18.63
74,Manturovo,RU,2022-04-24 14:47:00,58.3353,44.7619,52.09,68,99,5.01
75,Pochutla,MX,2022-04-24 14:47:00,15.7432,-96.4661,85.82,50,0,3.8
76,Tessalit,ML,2022-04-24 14:47:00,20.1986,1.0114,95.79,5,0,14.07
77,Hobart,AU,2022-04-24 14:45:02,-42.8794,147.3294,55.26,88,86,6.91
78,Humboldt,US,2022-04-24 14:47:01,40.6665,-123.9178,40.86,83,91,1.01
79,Avarua,CK,2022-04-24 14:42:26,-21.2078,-159.775,78.85,83,75,5.75
80,Siloam Springs,US,2022-04-24 14:47:01,36.1881,-94.5405,68.2,93,100,15.01
81,Tautira,PF,2022-04-24 14:47:02,-17.7333,-149.15,79.36,75,69,5.32
82,Korla,CN,2022-04-24 14:47:02,41.7597,86.1469,72.45,24,56,8.23
83,Pisco,PE,2022-04-24 14:47:02,-13.7,-76.2167,64.45,94,100,3.44
84,Storsteinnes,NO,2022-04-24 14:47:03,69.2408,19.2344,43.45,100,100,2.93
85,Cape Town,ZA,2022-04-24 14:45:23,-33.9258,18.4232,66.11,65,40,14.97
86,Carnarvon,AU,2022-04-24 14:44:50,-24.8667,113.6333,68.07,88,4,1.14
87,Portland,US,2022-04-24 14:44:47,45.5234,-122.6762,48.7,84,20,4.0
88,Vaini,TO,2022-04-24 14:47:03,-21.2,-175.2,69.96,94,75,1.14
89,Kaeo,NZ,2022-04-24 14:47:04,-35.1,173.7833,58.32,94,42,6.98
90,Rakaia,NZ,2022-04-24 14:47:04,-43.75,172.0167,46.29,89,100,5.79
91,Geraldton,AU,2022-04-24 14:47:04,-28.7667,114.6,61.21,72,97,4.61
92,Arbroath,GB,2022-04-24 14:47:05,56.5632,-2.5874,60.67,78,39,16.78
93,Bowen,AU,2022-04-24 14:47:05,-20.0167,148.2333,76.17,83,100,24.29
94,Thompson,CA,2022-04-24 14:45:38,55.7435,-97.8558,12.36,73,100,19.57
95,Teguise,ES,2022-04-24 14:48:05,29.0605,-13.564,64.62,68,20,8.05
96,Uruzgan,AF,2022-04-24 14:48:06,32.8333,66.0,59.67,51,52,12.03
97,Awallan,PH,2022-04-24 14:48:06,17.9244,121.913,77.09,90,8,4.56
98,Havelock,US,2022-04-24 14:48:07,34.8791,-76.9013,76.98,70,20,31.32
99,Margate,GB,2022-04-24 14:48:07,51.3813,1.3862,58.1,74,1,11.99
100,Northam,GB,2022-04-24 14:48:07,51.0333,-4.2167,60.66,73,75,11.92
101,Vestmanna,FO,2022-04-24 14:48:08,62.1564,-7.1664,45.52,71,20,13.8
102,Glushkovo,RU,2022-04-24 14:48:08,51.3392,34.6328,53.65,77,100,5.59
103,Coihaique,CL,2022-04-24 14:48:08,-45.5752,-72.0662,36.21,100,100,4.61
104,Husavik,IS,2022-04-24 14:48:09,66.0449,-17.3389,43.59,81,52,4.27
105,Maine-Soroa,NE,2022-04-24 14:48:09,13.2114,12.0241,106.97,7,100,8.61
106,Kapaa,US,2022-04-24 14:48:09,22.0752,-159.319,75.18,83,100,20.71
107,Parelhas,BR,2022-04-24 14:48:10,-6.6878,-36.6575,92.21,39,95,15.64
108,Nirmali,IN,2022-04-24 14:48:10,26.3167,86.5833,90.73,7,0,8.97
109,Bredasdorp,ZA,2022-04-24 14:48:10,-34.5322,20.0403,62.35,59,37,12.97
110,Hilo,US,2022-04-24 14:48:11,19.7297,-155.09,74.28,97,100,1.01
111,Mar Del Plata,AR,2022-04-24 14:48:11,-38.0023,-57.5575,64.87,76,0,14.97
112,Teya,RU,2022-04-24 14:48:12,60.3778,92.6267,26.49,97,100,4.07
113,Fare,PF,2022-04-24 14:48:12,-16.7,-151.0167,80.4,72,76,7.52
114,Zatoka,UA,2022-04-24 14:48:12,46.0725,30.4654,53.85,81,46,10.67
115,Moree,AU,2022-04-24 14:48:13,-29.4667,149.85,59.02,67,100,16.11
116,Kavieng,PG,2022-04-24 14:47:18,-2.5744,150.7967,81.75,77,47,8.61
117,Gusinoye Ozero,RU,2022-04-24 14:48:13,51.1144,106.2614,35.19,44,100,12.57
118,Baykit,RU,2022-04-24 14:48:14,61.67,96.37,29.93,97,100,3.69
119,Altamont,US,2022-04-24 14:48:14,42.2068,-121.7372,39.78,72,0,0.0
120,Vila Do Maio,CV,2022-04-24 14:48:14,15.1333,-23.2167,88.59,77,3,10.09
